,degree_centrality,weighted_degree,betweenness_centrality,pri_score,contraindicated_count,major_count
degree_centrality,1.0,0.9966254026850759,0.5051029061235122,0.8934559134733597,0.9198811055504788,0.8844085033637907
weighted_degree,0.9966254026850759,1.0,0.5167048834760372,0.909750362423099,0.948827259494574,0.8434982129381818
betweenness_centrality,0.5051029061235122,0.5167048834760372,1.0,0.5634615280514623,0.5279803591040568,0.37173368856710814
pri_score,0.8934559134733597,0.909750362423099,0.5634615280514623,1.0,0.9131318972298349,0.6825521363717438
contraindicated_count,0.9198811055504788,0.948827259494574,0.5279803591040568,0.9131318972298349,1.0,0.6307132229881763
major_count,0.8844085033637907,0.8434982129381818,0.37173368856710814,0.6825521363717438,0.6307132229881763,1.0
